Counties,Measure Names,Measure Values
ALPINE,Trailers,413
ALAMEDA,Trailers,51654
IRP VEHICLES **,Trucks,
STATEWIDE,Trucks,6461647
FEE EXEMPT VEHICLES,Trucks,335575
MISC VEHICLES *,Trucks,
OUT OF STATE,Trucks,36025
YUBA,Trucks,17443
YOLO,Trucks,43674
VENTURA,Trucks,145277
TUOLUMNE,Trucks,21771
TULARE,Trucks,105715
TRINITY,Trucks,5349
TEHAMA,Trucks,19194
SUTTER,Trucks,235803
STANISLAUS,Trucks,115350
SONOMA,Trucks,116023
SOLANO,Trucks,73865
SISKIYOU,Trucks,18025
SIERRA,Trucks,1759
SHASTA,Trucks,49754
SANTA CRUZ,Trucks,51398
SANTA CLARA,Trucks,189568
SANTA BARBARA,Trucks,83971
SAN MATEO,Trucks,80834
SAN LUIS OBISPO,Trucks,66940
SAN JOAQUIN,Trucks,144167
SAN FRANCISCO,Trucks,42924
SAN DIEGO,Trucks,483609
SAN BERNARDINO,Trucks,376489
SAN BENITO,Trucks,17374
SACRAMENTO,Trucks,222581
RIVERSIDE,Trucks,418286
PLUMAS,Trucks,9387
PLACER,Trucks,86447
ORANGE,Trucks,413583
NEVADA,Trucks,28797
NAPA,Trucks,30068
MONTEREY,Trucks,86018
MONO,Trucks,4566
MODOC,Trucks,4263
MERCED,Trucks,58835
MENDOCINO,Trucks,31701
MARIPOSA,Trucks,8036
MARIN,Trucks,31860
MADERA,Trucks,37528
LOS ANGELES,Trucks,1087462
LASSEN,Trucks,9764
LAKE,Trucks,22573
KINGS,Trucks,27873
KERN,Trucks,189126
INYO,Trucks,8255
IMPERIAL,Trucks,51377
HUMBOLDT,Trucks,37333
GLENN,Trucks,10150
FRESNO,Trucks,196211
EL DORADO,Trucks,50079
DEL NORTE,Trucks,7133
CONTRA COSTA,Trucks,152222
COLUSA,Trucks,8037
CALAVERAS,Trucks,21770
BUTTE,Trucks,50372
AMADOR,Trucks,16346
ALPINE,Trucks,640
ALAMEDA,Trucks,165092
IRP VEHICLES **,Autos,
STATEWIDE,Autos,25782147
FEE EXEMPT VEHICLES,Autos,259842
MISC VEHICLES *,Autos,
OUT OF STATE,Autos,110570
YUBA,Autos,45961
YOLO,Autos,124480
VENTURA,Autos,598291
TUOLUMNE,Autos,40141
TULARE,Autos,254128
TRINITY,Autos,7685
TEHAMA,Autos,34177
SUTTER,Autos,58030
STANISLAUS,Autos,326065
SONOMA,Autos,342494
SOLANO,Autos,296957
SISKIYOU,Autos,28746
SIERRA,Autos,2542
SHASTA,Autos,107069
SANTA CRUZ,Autos,172771
SANTA CLARA,Autos,1349372
SANTA BARBARA,Autos,279865
SAN MATEO,Autos,579535
SAN LUIS OBISPO,Autos,190185
SAN JOAQUIN,Autos,481070
SAN FRANCISCO,Autos,386865
SAN DIEGO,Autos,2253084
SAN BERNARDINO,Autos,1362756
SAN BENITO,Autos,45374
SACRAMENTO,Autos,993295
RIVERSIDE,Autos,1548566
PLUMAS,Autos,13818
PLACER,Autos,309200
ORANGE,Autos,2363684
NEVADA,Autos,69875
NAPA,Autos,94239
MONTEREY,Autos,276409
MONO,Autos,8759
MODOC,Autos,5087
MERCED,Autos,158619
MENDOCINO,Autos,57540
MARIPOSA,Autos,13067
MARIN,Autos,189072
MADERA,Autos,89346
LOS ANGELES,Autos,6235778
LASSEN,Autos,15022
LAKE,Autos,48155
KINGS,Autos,73691
KERN,Autos,470047
INYO,Autos,14453
IMPERIAL,Autos,137958
HUMBOLDT,Autos,77519
GLENN,Autos,17072
FRESNO,Autos,563083
EL DORADO,Autos,137481
DEL NORTE,Autos,14310
CONTRA COSTA,Autos,810019
COLUSA,Autos,13639
CALAVERAS,Autos,38707
BUTTE,Autos,116297
AMADOR,Autos,31068
ALPINE,Autos,1192
ALAMEDA,Autos,1038025
