"name","address","lng","lat"
"FQHC24","1140 Main St,Livingston,Merced","-120.72347128198,","37.379820525048"
"FQHC25","1141 Olive Ave,Turlock,Stanislaus","-120.839884710484,","37.503633289922"
"FQHC26","115-A Coral St,Santa Cruz,Santa Cruz","-122.030281861314,","36.985195365763"
"FQHC27","1155 W Central Ave,Santa Ana,Orange","-117.883911474237,","33.712614990016"
"FQHC28","1187 E S St,Orland,Glenn","-122.167193655817,","39.736060458325"
"FQHC29","12520 Palm Dr,Desert Hot Springs,Riverside","-116.501282769142,","33.957601872759"
"FQHC30","1200 Maricopa Hwy,Ojai,Ventura","-119.262678392168,","34.442096778724"
"FQHC31","1200 W Main St,Turlock,Stanislaus","-120.862679268163,","37.492677671999"
"FQHC32","12130 Paramount Blvd,Downey,Los Angeles","-118.146503839267,","33.931113019127"
"FQHC33","12157 Victory Blvd,North Hollywood,Los Angeles","-118.399056450864,","34.186732433749"
"FQHC34","122 E San Antonio Dr,King City,Monterey","-121.123496054809,","36.223097054369"
"FQHC35","1222 Pine St,St. Helena,Napa","-122.472177260591,","38.506077440814"
"FQHC36","1227 W 17th St,Santa Ana,Orange","-117.884021921376,","33.7603304573891"
"FQHC37","123 S Alvarado St,Los Angeles,Los Angeles","-118.270647459105,","34.066258765717"
"FQHC38","1231 Plumas St,Yuba City,Sutter","-121.617499651982,","39.147920368281"
"FQHC39","12360 Firestone Blvd,Norwalk,Los Angeles","-118.071822441611,","33.907209860106"
"FQHC40","125 W Thousand Oaks Blvd,Thousand Oaks,Ventura","-118.880220276192,","34.178488935363"
"FQHC41","1250 6th Ave,San Diego,San Diego","-117.159354016168,","32.718343395797"
"FQHC42","12540 Pierce St,Pacoima,Los Angeles","-118.405650468587,","34.272732589461"
"FQHC43","12586 Avenue 408,Orosi,Tulare","-119.291538127952,","36.53036371463"
"FQHC44","12619 Bentley St,Waterford,Stanislaus","-120.761338666009,","37.640735501928"
"FQHC45","127 W El Portal Dr,Merced,Merced","-120.469749324211,","37.326748423171"
"FQHC46","12751 Harbor Blvd,Garden Grove,Orange","-117.916201637776,","33.776371546636"
"FQHC47","1289 S Marina Dr,Salton City,Imperial","-115.969796368022,","33.275788246304"
"FQHC48","1300 N Ventura Rd,Oxnard,Ventura","-119.194554855534,","34.214637888478"
"FQHC49","1300 N Vermont Ave,Los Angeles,Los Angeles","-118.291679612177,","34.095607437635"
"FQHC50","1300 S Sunset Blvd,West Covina,Los Angeles","-118.250654566626,","34.071390892647"
"FQHC51","1301 4th St,Napa,Napa","-122.286056114593,","38.295878566246"
"FQHC52","1305 Concord St,Los Angeles,Los Angeles","-118.208091428479,","34.020890400456"
"FQHC53","131 W A St,Dixon,Solano","-121.822921096602,","38.445486596245"
"FQHC54","13161 Jefferson St,LE GRAND,Merced","-120.250814943303,","37.229436735916"
"FQHC55","133 W Main St,El Cajon,San Diego","-116.962771412449,","32.794869146943"
"FQHC56","1330 Cardinal St,Los Angeles,Los Angeles","-118.2305198757,","34.063053241469"
"FQHC57","1333 Meridian Ave,San Jose,Santa Clara","-121.913685443235,","37.301319297953"
