street_address,city,county,site_type
2100 Monument Blvd,Pleasant Hill,Contra Costa,FQHC
2101 Courage Dr,Fairfield,Solano,FQHC
2101 Tenaya Dr,Modesto,Stanislaus,FQHC
2105 Beverly Blvd,Los Angeles,Los Angeles,FQHC
21138 Paso Robles Hwy,Lost Hills,Kern,FQHC
217 Highland Ave,National City,San Diego,FQHC
219 N Sanborn Rd,Salinas,Monterey,FQHC
220 Hospital Dr,Vallejo,Solano,FQHC
2201 Courage Dr,Fairfield,Solano,FQHC
221 Ventura Blvd,Oxnard,Ventura,FQHC
2216 Fair St,Chico,Butte,FQHC
2219 E 1st St,Los Angeles,Los Angeles,FQHC
223 Bassett St,King City,Monterey,FQHC
2240 E Gonzales Rd,Oxnard,Ventura,FQHC
2240 Gladstone Dr,Pittsburg,Contra Costa,FQHC
2321 W Whittier Blvd,Montebello,Los Angeles,FQHC
2325 Commercial St,San Diego,San Diego,FQHC
23763 Valencia Blvd,Valencia,Los Angeles,FQHC
2380 Montpelier Dr,San Jose,Santa Clara,FQHC
23832 Rockfield Blvd,Lake Forest,Orange,FQHC
240 Shotwell St,San Francisco,San Francisco,FQHC
2400 Moorpark Ave,San Jose,Santa Clara,FQHC
2400 S C St,Oxnard,Ventura,FQHC
2401 W Turner Rd,Lodi,San Joaquin,FQHC
243 Georgia St,Vallejo,Solano,FQHC
250 E 18th St,Oakland,Alameda,FQHC
2500 Alhambra Ave,Martinez,Contra Costa,FQHC
2505 E Divisadero St,Fresno,Fresno,FQHC
251 Landis Ave,Chula Vista,San Diego,FQHC
2515 Main St,Cambria,San Luis Obispo,FQHC
2600 MacDonald Ave,Richmond,Contra Costa,FQHC
263 S West St,Tulare,Tulare,FQHC
2640 E Lafayette St,Stockton,San Joaquin,FQHC
26926-B Cherry Hills Blvd,Menifee,Riverside,FQHC7
2720 S Bristol St,Santa Ana,Orange,FQHC
2760 3rd St,CERES,Stanislaus,FQHC
278 Main St,Hamilton City,Glenn,FQHC
2790 S Elm Ave,Fresno,Fresno,FQHC
2801 Santa Maria Way,Santa Maria,Santa Barbara,FQHC
2801 Silver St,Anderson,Shasta,FQHC
286 Euclid Ave,San Diego,San Diego,FQHC
2880 Story Rd,San Jose,Santa Clara,FQHC
29-A Bishop Rd,Pajaro,Monterey,FQHC
2950 International Blvd,Oakland,Alameda,FQHC
29632 Hwy 299E,Round Mountain,Shasta,FQHC
301 Howard Rd,Westley,Stanislaus,FQHC
305 E Center St,Visalia,Tulare,FQHC
3052 Willow Pass Rd,Concord,Contra Costa,FQHC
3075 Mission Blvd,San Diego,San Diego,FQHC
30979 Rd 72,Visalia,Tulare,FQHC
311 Winston St,Los Angeles,Los Angeles,FQHC
31180 Rd 67,Goshen,Tulare,FQHC
3124 International Blvd,Oakland,Alameda,FQHC
3160 E Del Mar Blvd,Pasadena,Los Angeles,FQHC
3177 Oceanview Blvd,San Diego,San Diego,FQHC
3200 Senter Rd,San Jose,Santa Clara,FQHC
325 Posada Ln,Templeton,San Luis Obispo,FQHC
3260 Kerner Blvd,San Rafael,Marin,FQHC
329 W 8th St,Hanford,Kings,FQHC
33025 Rd,Ivanhoe,Tulare,FQHC
333 Laws Ave,Ukiah,Mendocino,FQHC
345 Spring St,Paso Robles,San Luis Obispo,FQHC
3451 E 12th St,Oakland,Alameda,FQHC
3455 Percy St,Los Angeles,Los Angeles,FQHC
3505 Lone Tree Way,Antioch,Contra Costa,FQHC
3544 30th St,San Diego,San Diego,FQHC
355 Central Ave,Fillmore,Ventura,FQHC
3554 W Mount Whitney Ave,Riverdale,Fresno,FQHC
35800 Hwy 190,Springville,Tulare,FQHC
365 Tuolumne St,Vallejo,Solano,FQHC
3690 Mission Blvd,San Diego,San Diego,FQHC
370 N Montgomery St,San Jose,Santa Clara,FQHC
3801 Las Posas Rd,Camarillo,Ventura,FQHC
3820 Martin Luther King Jr Blvd,Lynwood,Los Angeles,FQHC
3945 Whittier Blvd,Los Angeles,Los Angeles,FQHC
401 E School Ave,Visalia,Tulare,FQHC
401 Lesher Dr,Merced,Merced,FQHC
401 Trinity Ave,Chowchilla,Madera,FQHC
4010 E Chapman Ave,Orange,Orange,FQHC
4050 Beyer Blvd,San Ysidro,San Diego,FQHC
4060 Fairmount Ave,San Diego,San Diego,FQHC
4094 4th Ave,San Diego,San Diego,FQHC
4150 Patterson Rd,Riverbank,Merced,FQHC
416 Spring St,Paso Robles,San Luis Obispo,FQHC
41651 Sierra Dr,Three Rivers,Tulare,FQHC
4171 Fairmount Ave,San Diego,San Diego,FQHC
4177 Avenue 368,Traver,Tulare,FQHC
41840 Enterprise Cir,Temecula,Riverside,FQHC
420 S Glendora Ave,West Covina,Los Angeles,FQHC
423 S San Joaquin St,Stockton,San Joaquin,FQHC
425 N Date St,Escondido,San Diego,FQHC
425 W Central Ave,Lompoc,Santa Barbara,FQHC
4279 Tierra Rejada Rd,Moorpark,Ventura,FQHC
430 S Blosser Rd,Santa Maria,Santa Barbara,FQHC
4326 Golden Center Dr,Placerville,El Dorado,FQHC
436-435 Susan Dr,Doyle,Lassen,FQHC
4361 Railroad Ave,Pleasanton,Alameda,FQHC
440 Airport Blvd,Salinas,Monterey,FQHC
45 Hazel St,Willits,Mendocino,FQHC
